,AllCCS ID,Name,smiles,Formula,Adduct,m/z,CCS,Input
52,AllCCS00000022,Glutaric Acid,C(CC(=O)O)CC(=O)O,C5H8O4,[M+Na-2H]-,153.017,129.7,Glutaric Acid
53,AllCCS00000023,Isovalerylglycine,CC(C)CC(=O)NCC(=O)O,C7H13NO3,[M-H]-,158.0822,138.1,Isovalerylglycine
54,AllCCS00000024,3-SULFOOXY-1H-INDOLE,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,C8H7NO4S,[M-H+2K]+,289.9287,160.6,3-SULFOOXY-1H-INDOLE
55,AllCCS00000024,3-SULFOOXY-1H-INDOLE,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,C8H7NO4S,[M-H]-,212.0023,140.6,3-SULFOOXY-1H-INDOLE
56,AllCCS00000025,(S)-2-Hydroxyglutarate,C(CC(=O)O)C(C(=O)O)O,C5H8O5,[M-2H+3Na]+,214.9905,147.8,(S)-2-Hydroxyglutarate
57,AllCCS00000025,(S)-2-Hydroxyglutarate,C(CC(=O)O)C(C(=O)O)O,C5H8O5,[M-H]-,147.0299,119.1,(S)-2-Hydroxyglutarate
58,AllCCS00000026,Hexanoylglycine,CCCCCC(=O)NCC(=O)O,C8H15NO3,[M-H+2Na]+,218.0765,163.9,Hexanoylglycine
59,AllCCS00000026,Hexanoylglycine,CCCCCC(=O)NCC(=O)O,C8H15NO3,[M-H]-,172.0979,144.6,Hexanoylglycine
60,AllCCS00000027,L-Aspartyl-L-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N,C13H16N2O5,[M+H]+,281.1132,165.1,L-Aspartyl-L-phenylalanine
61,AllCCS00000027,L-Aspartyl-L-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N,C13H16N2O5,[M-H]-,279.0986,159.4,L-Aspartyl-L-phenylalanine
62,AllCCS00000027,L-Aspartyl-L-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N,C13H16N2O5,[M-H2O-H]-,261.088,156.3,L-Aspartyl-L-phenylalanine
63,AllCCS00000027,L-Aspartyl-L-phenylalanine,C1=CC=C(C=C1)CC(C(=O)O)NC(=O)C(CC(=O)O)N,C13H16N2O5,[M+Na-2H]-,301.0806,162.3,L-Aspartyl-L-phenylalanine
64,AllCCS00000028,L-Pipecolic acid,C1CCNC(C1)C(=O)O,C6H11NO2,[M+H]+,130.0863,128.4,L-Pipecolic acid
65,AllCCS00000028,L-Pipecolic acid,C1CCNC(C1)C(=O)O,C6H11NO2,[M+Na]+,152.0683,138.6,L-Pipecolic acid
66,AllCCS00000029,Glycylproline,C1CC(N(C1)C(=O)CN)C(=O)O,C7H12N2O3,[M+H]+,173.0921,136.4,Glycylproline
67,AllCCS00000029,Glycylproline,C1CC(N(C1)C(=O)CN)C(=O)O,C7H12N2O3,[M-H]-,171.0775,134.6,Glycylproline
68,AllCCS00000030,Isobutyrylglycine,CC(C)C(=O)NCC(=O)O,C6H11NO3,[M-H+2Na]+,190.0452,151.3,Isobutyrylglycine
69,AllCCS00000030,Isobutyrylglycine,CC(C)C(=O)NCC(=O)O,C6H11NO3,[M-H]-,144.0666,132.1,Isobutyrylglycine
70,AllCCS00000031,S-sulphocysteine,C(C(C(=O)O)N)SS(=O)(=O)O,C3H7NO5S2,[M+H]+,201.9839,144.3,S-sulphocysteine
71,AllCCS00000031,S-sulphocysteine,C(C(C(=O)O)N)SS(=O)(=O)O,C3H7NO5S2,[M-H]-,199.9693,126.3,S-sulphocysteine
72,AllCCS00000031,S-sulphocysteine,C(C(C(=O)O)N)SS(=O)(=O)O,C3H7NO5S2,[M+Na-2H]-,221.9513,133.3,S-sulphocysteine
73,AllCCS00000032,Glycyl-L-leucine,CC(C)CC(C(=O)O)NC(=O)CN,C8H16N2O3,[M+H]+,189.1234,149.6,Glycyl-L-leucine
74,AllCCS00000032,Glycyl-L-leucine,CC(C)CC(C(=O)O)NC(=O)CN,C8H16N2O3,[M-H]-,187.1088,142.1,Glycyl-L-leucine
75,AllCCS00000033,Propionylglycine,CCC(=O)NCC(=O)O,C5H9NO3,[M-H]-,130.0509,126.9,Propionylglycine
76,AllCCS00000034,N-Acetyl-L-aspartic acid,CC(=O)NC(CC(=O)O)C(=O)O,C6H9NO5,[M-H]-,174.0408,130.8,N-Acetyl-L-aspartic acid
77,AllCCS00000035,Phenylacetylglycine,C1=CC=C(C=C1)CC(=O)NCC(=O)O,C10H11NO3,[M-H]-,192.0666,147.2,Phenylacetylglycine
78,AllCCS00000036,Phenylpropionylglycine,C1=CC=C(C=C1)CCC(=O)NCC(=O)O,C11H13NO3,[M+H]+,208.0968,149.5,Phenylpropionylglycine
79,AllCCS00000036,Phenylpropionylglycine,C1=CC=C(C=C1)CCC(=O)NCC(=O)O,C11H13NO3,[M-H]-,206.0822,153.3,Phenylpropionylglycine
80,AllCCS00000037,N-acetyltyrosine,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O,C11H13NO4,[M+Na]+,246.0738,154.7,N-acetyltyrosine
81,AllCCS00000037,N-acetyltyrosine,CC(=O)NC(CC1=CC=C(C=C1)O)C(=O)O,C11H13NO4,[M-H]-,222.0772,149.4,N-acetyltyrosine
82,AllCCS00000038,Suberylglycine,C(CCCC(=O)O)CCC(=O)NCC(=O)O,C10H17NO5,[M+Na]+,254.1,153.9,Suberylglycine
83,AllCCS00000038,Suberylglycine,C(CCCC(=O)O)CCC(=O)NCC(=O)O,C10H17NO5,[M-H]-,230.1034,146.8,Suberylglycine
84,AllCCS00000038,Suberylglycine,C(CCCC(=O)O)CCC(=O)NCC(=O)O,C10H17NO5,[M+Na-2H]-,252.0854,149.9,Suberylglycine
85,AllCCS00000039,DL-2-Aminooctanoic acid,CCCCCCC(C(=O)O)N,C8H17NO2,[M+H]+,160.1332,147.2,DL-2-Aminooctanoic acid
86,AllCCS00000039,DL-2-Aminooctanoic acid,CCCCCCC(C(=O)O)N,C8H17NO2,[M-H]-,158.1186,141.6,DL-2-Aminooctanoic acid
87,AllCCS00000040,N-Formylmethionine,CSCCC(C(=O)O)NC=O,C6H11NO3S,[M-H+2Na]+,222.0173,152.0,N-Formylmethionine
88,AllCCS00000040,N-Formylmethionine,CSCCC(C(=O)O)NC=O,C6H11NO3S,[M-H]-,176.0387,134.1,N-Formylmethionine
89,AllCCS00000041,Dihydrofolic Acid,C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C19H21N7O6,[M+H]+,444.1626,194.1,Dihydrofolic Acid
90,AllCCS00000041,Dihydrofolic Acid,C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C19H21N7O6,[M-H]-,442.148,196.4,Dihydrofolic Acid
91,AllCCS00000041,Dihydrofolic Acid,C1C(=NC2=C(N1)N=C(NC2=O)N)CNC3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,C19H21N7O6,[M+Na-2H]-,464.13,199.4,Dihydrofolic Acid
92,AllCCS00000042,S-Lactoylglutathione,CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O,C13H21N3O8S,[M+H]+,380.1122,188.2,S-Lactoylglutathione
93,AllCCS00000042,S-Lactoylglutathione,CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O,C13H21N3O8S,[M-H]-,378.0976,173.9,S-Lactoylglutathione
94,AllCCS00000042,S-Lactoylglutathione,CC(C(=O)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O,C13H21N3O8S,[M+Na-2H]-,400.0796,176.6,S-Lactoylglutathione
95,AllCCS00000043,N-Acetylaspartylglutamate (NAAG),CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O,C11H16N2O8,[M+Na]+,327.08,166.6,N-Acetylaspartylglutamate (NAAG)
96,AllCCS00000043,N-Acetylaspartylglutamate (NAAG),CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O,C11H16N2O8,[M-H2O-H]-,285.0728,156.8,N-Acetylaspartylglutamate (NAAG)
97,AllCCS00000044,N-Acetyl-L-glutamate,CC(=O)NC(CCC(=O)O)C(=O)O,C7H11NO5,[M+Na-2H]-,210.0384,141.0,N-Acetyl-L-glutamate
98,AllCCS00000045,"2,6-Diaminopimelic Acid",C(CC(C(=O)O)N)CC(C(=O)O)N,C7H14N2O4,[M+H]+,191.1027,141.5,"2,6-Diaminopimelic Acid"
99,AllCCS00000045,"2,6-Diaminopimelic Acid",C(CC(C(=O)O)N)CC(C(=O)O)N,C7H14N2O4,[M+Na]+,213.0847,145.3,"2,6-Diaminopimelic Acid"
100,AllCCS00000045,"2,6-Diaminopimelic Acid",C(CC(C(=O)O)N)CC(C(=O)O)N,C7H14N2O4,[M+K]+,229.0586,146.4,"2,6-Diaminopimelic Acid"
101,AllCCS00000045,"2,6-Diaminopimelic Acid",C(CC(C(=O)O)N)CC(C(=O)O)N,C7H14N2O4,[M+Na-2H]-,211.0701,139.6,"2,6-Diaminopimelic Acid"
102,AllCCS00000047,Aspartame,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,C14H18N2O5,[M+H]+,295.1289,170.0,Aspartame
103,AllCCS00000047,Aspartame,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N,C14H18N2O5,[M-H]-,293.1143,166.7,Aspartame
104,AllCCS00000048,N-Methyl-Lysine,CNCCCCC(C(=O)O)N,C7H16N2O2,[M+H]+,161.1285,132.5,N-Methyl-Lysine
105,AllCCS00000048,N-Methyl-Lysine,CNCCCCC(C(=O)O)N,C7H16N2O2,[M-H]-,159.1139,134.2,N-Methyl-Lysine
106,AllCCS00000049,N-Acetylputrescine,CC(=O)NCCCCN,C6H14N2O,[M+H]+,131.1179,129.1,N-Acetylputrescine
107,AllCCS00000049,N-Acetylputrescine,CC(=O)NCCCCN,C6H14N2O,[M+Na]+,153.0999,135.3,N-Acetylputrescine
108,AllCCS00000049,N-Acetylputrescine,CC(=O)NCCCCN,C6H14N2O,[M-H]-,129.1033,127.2,N-Acetylputrescine
109,AllCCS00000050,N8-Acetylspermidine,CC(=O)NCCCCNCCCN,C9H21N3O,[M+H]+,188.1758,142.9,N8-Acetylspermidine
110,AllCCS00000050,N8-Acetylspermidine,CC(=O)NCCCCNCCCN,C9H21N3O,[M-H]-,186.1612,146.3,N8-Acetylspermidine
111,AllCCS00000051,L-homocysteic acid,C(CS(=O)(=O)O)C(C(=O)O)N,C4H9NO5S,[M+H]+,184.0274,140.4,L-homocysteic acid
112,AllCCS00000051,L-homocysteic acid,C(CS(=O)(=O)O)C(C(=O)O)N,C4H9NO5S,[M-H]-,182.0128,125.8,L-homocysteic acid
113,AllCCS00000051,L-homocysteic acid,C(CS(=O)(=O)O)C(C(=O)O)N,C4H9NO5S,[M+Na-2H]-,203.9948,132.6,L-homocysteic acid
114,AllCCS00000052,N-Acetylcadaverine,CC(=O)NCCCCCN,C7H16N2O,[M+H]+,145.1336,133.4,N-Acetylcadaverine
115,AllCCS00000052,N-Acetylcadaverine,CC(=O)NCCCCCN,C7H16N2O,[M-H]-,143.119,131.8,N-Acetylcadaverine
116,AllCCS00000053,L-Cysteic acid,C(C(C(=O)O)N)S(=O)(=O)O,C3H7NO5S,[M-H]-,167.9972,120.5,L-Cysteic acid
117,AllCCS00000054,Biocytin,C1C2C(C(S1)CCCCC(=O)NCCCCC(C(=O)O)N)NC(=O)N2,C16H28N4O4S,[M+H]+,373.1904,187.2,Biocytin
118,AllCCS00000054,Biocytin,C1C2C(C(S1)CCCCC(=O)NCCCCC(C(=O)O)N)NC(=O)N2,C16H28N4O4S,[M-H]-,371.1758,184.3,Biocytin
119,AllCCS00000054,Biocytin,C1C2C(C(S1)CCCCC(=O)NCCCCC(C(=O)O)N)NC(=O)N2,C16H28N4O4S,[M+Na-2H]-,393.1578,189.8,Biocytin
120,AllCCS00000055,Nicotinuric acid,C1=CC(=CN=C1)C(=O)NCC(=O)O,C8H8N2O3,[M+H]+,181.0608,144.1,Nicotinuric acid
121,AllCCS00000055,Nicotinuric acid,C1=CC(=CN=C1)C(=O)NCC(=O)O,C8H8N2O3,[M-H]-,179.0462,138.1,Nicotinuric acid
122,AllCCS00000056,5-Aminopentanoic acid,C(CCN)CC(=O)O,C5H11NO2,[M+H]+,118.0863,121.7,5-Aminopentanoic acid
123,AllCCS00000056,5-Aminopentanoic acid,C(CCN)CC(=O)O,C5H11NO2,[M-H]-,116.0717,124.5,5-Aminopentanoic acid
124,AllCCS00000057,D-Ornithine,C(CC(C(=O)O)N)CN,C5H12N2O2,[M+H]+,133.0972,127.7,D-Ornithine
125,AllCCS00000057,D-Ornithine,C(CC(C(=O)O)N)CN,C5H12N2O2,[M-H]-,131.0826,128.3,D-Ornithine
126,AllCCS00000058,D-Proline,C1CC(NC1)C(=O)O,C5H9NO2,[M+H]+,116.0706,124.9,D-Proline
127,AllCCS00000058,D-Proline,C1CC(NC1)C(=O)O,C5H9NO2,[M-H]-,114.056,122.5,D-Proline
128,AllCCS00000059,Pantetheine,CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O,C11H22N2O4S,[M-H2O+H]+,261.1267,164.9,Pantetheine
129,AllCCS00000059,Pantetheine,CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O,C11H22N2O4S,[M-H]-,277.1227,158.5,Pantetheine
130,AllCCS00000059,Pantetheine,CC(C)(CO)C(C(=O)NCCC(=O)NCCS)O,C11H22N2O4S,[M+Na-2H]-,299.1047,164.9,Pantetheine
131,AllCCS00000060,D-Alanyl-D-alanine (D-Ala-D-Ala),CC(C(=O)NC(C)C(=O)O)N,C6H12N2O3,[M+Na]+,183.0741,142.8,D-Alanyl-D-alanine (D-Ala-D-Ala)
132,AllCCS00000060,D-Alanyl-D-alanine (D-Ala-D-Ala),CC(C(=O)NC(C)C(=O)O)N,C6H12N2O3,[M-H]-,159.0775,134.1,D-Alanyl-D-alanine (D-Ala-D-Ala)
133,AllCCS00000061,Homocitrate,C(CC(CC(=O)O)(C(=O)O)O)C(=O)O,C7H10O7,[M+Na]+,229.032,145.2,Homocitrate
134,AllCCS00000061,Homocitrate,C(CC(CC(=O)O)(C(=O)O)O)C(=O)O,C7H10O7,[M-H]-,205.0354,130.0,Homocitrate
135,AllCCS00000062,N-(omega)-Hydroxyarginine,C(CC(C(=O)O)N)CN=C(N)NO,C6H14N4O3,[M+H]+,191.1139,139.0,N-(omega)-Hydroxyarginine
136,AllCCS00000062,N-(omega)-Hydroxyarginine,C(CC(C(=O)O)N)CN=C(N)NO,C6H14N4O3,[M-H]-,189.0993,138.2,N-(omega)-Hydroxyarginine
137,AllCCS00000063,N-Acetylglutamine,CC(=O)NC(CCC(=O)N)C(=O)O,C7H12N2O4,[M+Na]+,211.069,144.6,N-Acetylglutamine
138,AllCCS00000063,N-Acetylglutamine,CC(=O)NC(CCC(=O)N)C(=O)O,C7H12N2O4,[M-H]-,187.0724,136.8,N-Acetylglutamine
139,AllCCS00000064,Phosphonotyrosine,C1=CC(=CC=C1CC(C(=O)O)N)OP(=O)(O)O,C9H12NO6P,[M+H]+,262.0475,162.8,Phosphonotyrosine
140,AllCCS00000064,Phosphonotyrosine,C1=CC(=CC=C1CC(C(=O)O)N)OP(=O)(O)O,C9H12NO6P,[M+Na-2H]-,282.0149,149.3,Phosphonotyrosine
141,AllCCS00000065,DL-O-tyrosine,C1=CC=C(C(=C1)CC(C(=O)O)N)O,C9H11NO3,[M+H]+,182.0812,141.9,DL-O-tyrosine
142,AllCCS00000065,DL-O-tyrosine,C1=CC=C(C(=C1)CC(C(=O)O)N)O,C9H11NO3,[M-H]-,180.0666,134.3,DL-O-tyrosine
143,AllCCS00000065,DL-O-tyrosine,C1=CC=C(C(=C1)CC(C(=O)O)N)O,C9H11NO3,[M+Na-2H]-,202.0486,139.9,DL-O-tyrosine
144,AllCCS00000066,5-L-Glutamyl-L-alanine,CC(C(=O)O)NC(=O)CCC(C(=O)O)N,C8H14N2O5,[M+H]+,219.0976,149.7,5-L-Glutamyl-L-alanine
145,AllCCS00000066,5-L-Glutamyl-L-alanine,CC(C(=O)O)NC(=O)CCC(C(=O)O)N,C8H14N2O5,[M-H]-,217.083,140.2,5-L-Glutamyl-L-alanine
146,AllCCS00000067,Alpha-N-Phenylacetyl-L-glutamine,C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O,C13H16N2O4,[M+H]+,265.1183,159.9,Alpha-N-Phenylacetyl-L-glutamine
147,AllCCS00000067,Alpha-N-Phenylacetyl-L-glutamine,C1=CC=C(C=C1)CC(=O)NC(CCC(=O)N)C(=O)O,C13H16N2O4,[M+Na]+,287.1003,171.2,Alpha-N-Phenylacetyl-L-glutamine
148,AllCCS00000068,D-Aspartic Acid,C(C(C(=O)O)N)C(=O)O,C4H7NO4,[M-H]-,132.0302,116.9,D-Aspartic Acid
149,AllCCS00000069,gamma-L-Glutamyl-L-valine,CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N,C10H18N2O5,[M+H]+,247.1289,160.3,gamma-L-Glutamyl-L-valine
150,AllCCS00000069,gamma-L-Glutamyl-L-valine,CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N,C10H18N2O5,[M-H]-,245.1143,149.9,gamma-L-Glutamyl-L-valine
151,AllCCS00000069,gamma-L-Glutamyl-L-valine,CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N,C10H18N2O5,[M-H2O-H]-,227.1037,151.9,gamma-L-Glutamyl-L-valine
152,AllCCS00000069,gamma-L-Glutamyl-L-valine,CC(C)C(C(=O)O)NC(=O)CCC(C(=O)O)N,C10H18N2O5,[M+Na-2H]-,267.0963,154.1,gamma-L-Glutamyl-L-valine
153,AllCCS00000070,gamma-L-Glutamyl-L-glutamic acid,C(CC(=O)NC(CCC(=O)O)C(=O)O)C(C(=O)O)N,C10H16N2O7,[M+H]+,277.1031,162.9,gamma-L-Glutamyl-L-glutamic acid
154,AllCCS00000070,gamma-L-Glutamyl-L-glutamic acid,C(CC(=O)NC(CCC(=O)O)C(=O)O)C(C(=O)O)N,C10H16N2O7,[M-H]-,275.0885,152.4,gamma-L-Glutamyl-L-glutamic acid
155,AllCCS00000070,gamma-L-Glutamyl-L-glutamic acid,C(CC(=O)NC(CCC(=O)O)C(=O)O)C(C(=O)O)N,C10H16N2O7,[M-H2O-H]-,257.0779,152.4,gamma-L-Glutamyl-L-glutamic acid
